route,stop,lat,lon,distance_to_next_stop(km),duration(min)
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,UB,30.445236,-97.709418,38.322,39.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,NE,30.364606,-97.983292,0.712,2.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,KN,30.367328,-97.984245,0.428,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,PS,30.364312,-97.984522,0.556,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,AD,30.361568,-97.987454,0.537,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,BZ,30.362289,-97.991714,0.635,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XV,30.36289,-97.987046,0.237,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XN,30.363496,-97.985275,0.046,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,NS,30.363837,-97.985553,0.253,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,QW,30.363141,-97.983314,0.073,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FA,30.362988,-97.98272,0.067,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,KV,30.362878,-97.982836,0.211,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,VS,30.361685,-97.981826,1.828,3.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CG,30.34932,-97.977936,0.185,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,KR,30.35039,-97.978512,0.253,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ZL,30.349623,-97.980647,0.325,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XI,30.351433,-97.979919,0.091,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,UP,30.35188,-97.980534,0.079,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,RM,30.352578,-97.980406,0.06,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,HC,30.353116,-97.980431,0.392,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,LH,30.351426,-97.981709,0.181,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,NC,30.350045,-97.982104,0.375,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,LF,30.348064,-97.982257,0.413,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,TJ,30.350522,-97.983343,0.402,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,YI,30.352761,-97.983762,0.04,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,PW,30.352989,-97.983454,0.279,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,LU,30.351939,-97.985443,0.617,2.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,AZ,30.350239,-97.987584,0.328,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,IT,30.352705,-97.987982,0.251,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,XL,30.354041,-97.987349,0.403,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,WC,30.354612,-97.985831,0.12,0.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CR,30.35512,-97.984974,0.508,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ZU,30.354491,-97.98887,0.21,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,OO,30.353418,-97.990301,0.193,1.0
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,ME,30.354915,-97.989544,0.129,0.0
