route,stop,lat,lon,distance_to_next_stop(km),duration(min)
ROTA0010,CLIENTE0390,-23.4812766256,-46.3537405244,0.301,1.25
ROTA0010,CLIENTE0384,-23.464139953846157,-46.33437266923077,3.812,9.783333333333333
ROTA0010,CLIENTE0386,-23.46344959555556,-46.33282069222222,0.181,1.05
ROTA0010,CLIENTE0396,-23.46386927958333,-46.33292307958333,1.641,4.283333333333333
ROTA0010,CLIENTE0398,-23.464332006666663,-46.33327080111111,0.17,1.0333333333333334
ROTA0010,CLIENTE0385,-23.463932912173917,-46.333933533043485,0.401,1.6
ROTA0010,CLIENTE0394,-23.464243764444443,-46.33267683444445,0.252,1.3333333333333333
ROTA0010,CLIENTE0383,-23.4693932175,-46.352420556875,3.011,8.066666666666666
ROTA0010,CLIENTE0391,-23.451373375,-46.35940141666666,2.422,6.016666666666667
ROTA0010,CLIENTE0399,-23.451000168,-46.357998312,0.3,1.6833333333333333
ROTA0010,CLIENTE0400,-23.45713838333333,-46.35570120833333,1.048,3.8
ROTA0010,CLIENTE0397,-23.455656938750003,-46.35346172049999,0.435,1.7666666666666666
ROTA0010,CLIENTE0392,-23.455262898461537,-46.34549306461539,1.342,4.083333333333333
ROTA0010,CLIENTE0395,-23.4530697675,-46.343951635,0.358,1.75
ROTA0010,CLIENTE0389,-23.45443264,-46.343280606279066,0.222,0.7333333333333333
ROTA0010,CLIENTE0393,-23.452667634285717,-46.34030926285715,0.364,1.0333333333333334
ROTA0010,CLIENTE0388,-23.452742843611112,-46.34048873527777,0.02,0.06666666666666667
ROTA0010,CLIENTE0387,-23.45548872941177,-46.34286352235294,0.457,1.55
ROTA0010,CLIENTE0401,-23.465273848,-46.336487456,4.583,10.7
ROTA0012,CLIENTE0209,-23.46615021,-46.46650772,0.491,1.5666666666666667
ROTA0012,CLIENTE0205,-23.45734983,-46.47214915,1.205,3.55
ROTA0012,CLIENTE0208,-23.45500818,-46.46823630057144,2.46,5.883333333333334
ROTA0012,CLIENTE0199,-23.455012420952382,-46.465988641904765,0.368,1.6333333333333333
