,count_of_nodes_in_graph,count_of_edges_in_graph,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
Cabuço de Cima,160,278,3.475,8206.228,29.519,2.044,158,4103.114,139,29.519,1.0,0.0
Cabuçu,5898,11709,3.97,301852.128,25.779,2.127,5712,157234.333,6233,25.226,1.0,0.0
Mato das Cobras,1076,2197,4.084,64638.712,29.421,2.1,1040,32418.617,1109,29.232,1.0,0.0
Morro Grande,1857,3670,3.953,107976.139,29.421,2.007,1831,54131.894,1842,29.388,1.0,0.0
Sadokim,270,535,3.963,25252.593,47.201,2.207,265,13719.407,283,48.478,1.0,0.0
Bonsucesso,5055,9982,3.949,368701.718,36.937,2.245,4910,203880.672,5620,36.278,1.0,0.0
Jardim Presidente Dutra,1209,2639,4.366,147116.468,55.747,2.409,1160,78482.221,1440,54.502,1.0,0.0
Lavras,394,807,4.096,34193.906,42.372,2.152,358,17335.913,410,42.283,1.0,0.0
Aeroporto Internacional Governador André Franco Montoro,1246,1668,2.677,55132.594,33.053,2.132,1226,41449.947,1323,31.33,1.0,0.0
Aracília,321,584,3.639,26741.446,45.79,2.193,311,15305.808,341,44.885,1.0,0.0
Capelinha,1230,2450,3.984,52684.077,21.504,2.018,1216,26377.539,1227,21.498,1.0,0.0
Cumbica,5753,10078,3.504,405419.687,40.228,2.242,5688,257271.466,6423,40.055,1.0,0.0
Pimentas,6031,12482,4.139,413165.753,33.101,2.239,5839,220374.177,6711,32.838,1.0,0.0
Água Azul,1009,2042,4.048,53059.611,25.984,2.066,982,26548.63,1027,25.851,1.0,0.0
Água Chata,981,1705,3.476,52733.992,30.929,2.152,958,30339.968,1033,29.371,1.0,0.0
Bom Clima,677,1143,3.377,31033.68,27.151,2.319,668,19247.165,771,24.964,1.0,0.0
Centro,1760,2469,2.806,78809.691,31.92,2.328,1728,61295.879,1994,30.74,1.0,0.0
Fátima,617,1208,3.916,40969.746,33.915,2.297,599,22031.883,697,31.61,1.0,0.0
Gopoúva,1024,1835,3.584,62397.691,34.004,2.279,961,37041.419,1144,32.379,1.0,0.0
Itapegica,1390,2371,3.412,91613.739,38.639,2.245,1354,58922.211,1540,38.261,1.0,0.0
Taboão,2992,6031,4.031,179721.242,29.8,2.182,2896,95802.36,3241,29.56,1.0,0.0
Jardim Vila Galvão,825,1508,3.656,42011.446,27.859,2.319,807,24777.813,942,26.303,1.0,0.0
Monte Carmelo,274,563,4.109,18696.405,33.209,2.332,261,9687.123,309,31.35,1.0,0.0
Morros,1351,2721,4.028,103885.528,38.179,2.242,1294,54083.369,1499,36.08,1.0,0.0
Ponte Grande,1277,2244,3.514,81892.902,36.494,2.166,1205,50168.186,1372,36.566,1.0,0.0
Porto da Igreja,507,658,2.596,31450.97,47.798,2.065,505,24308.669,512,47.478,1.0,0.0
Torres Tobagy,686,1307,3.81,49695.995,38.023,2.338,659,29057.892,778,37.349,1.0,0.0
Vila Augusta,1279,2220,3.471,74711.075,33.654,2.255,1214,45610.301,1418,32.165,1.0,0.0
Vila Galvão,1338,2571,3.843,108793.153,42.316,2.425,1284,63941.652,1592,40.164,1.0,0.0
Vila Rio,1814,3489,3.847,103698.962,29.722,2.242,1754,55693.858,2005,27.777,1.0,0.0
Várzea do Palácio,705,1001,2.84,34341.427,34.307,2.03,703,27216.359,705,38.605,1.0,0.0
Bananal,2000,4205,4.205,121766.163,28.957,2.139,1901,61273.867,2125,28.835,1.0,0.0
Invernada,1221,2438,3.993,56431.796,23.147,2.053,1183,28371.157,1226,23.141,1.0,0.0
São João,2804,5682,4.053,218840.967,38.515,2.279,2693,116842.022,3171,36.847,1.0,0.0
Tanque Grande,711,1394,3.921,41853.548,30.024,2.007,689,20926.774,697,30.024,1.0,0.0
Bela Vista,581,1200,4.131,48801.815,40.668,2.458,573,25706.728,688,37.364,1.0,0.0
Fortaleza,1412,2807,3.976,72010.097,25.654,2.116,1383,37271.162,1480,25.183,1.0,0.0
Tranquilidade,181,367,4.055,15562.159,42.404,2.481,175,9206.12,214,43.019,1.0,0.0
Itaim,1032,2145,4.157,79956.984,37.276,2.228,987,42439.483,1137,37.326,1.0,0.0
Picanço,1642,2999,3.653,105415.699,35.15,2.325,1598,60484.722,1871,32.327,1.0,0.0
Maia,687,1094,3.185,35229.153,32.202,2.332,667,23051.402,772,29.859,1.0,0.0
São Roque,193,258,2.674,10216.774,39.6,2.114,189,8511.393,191,44.562,1.0,0.0
Vila Barros,609,1252,4.112,53456.158,42.697,2.425,601,29830.427,709,42.074,1.0,0.0
Cocaia,837,1717,4.103,53003.484,30.87,2.299,802,27434.28,936,29.31,1.0,0.0
CECAP,637,868,2.725,32933.049,37.941,2.146,593,22105.773,659,33.544,1.0,0.0
Macedo,844,1270,3.009,47202.864,37.168,2.334,816,34084.251,964,35.357,1.0,0.0
Paraventi,530,972,3.668,34027.188,35.007,2.342,508,19111.076,599,31.905,1.0,0.0
