,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
Cabuço de Cima,0.115,0.707,252.0,3.653,"(30, 40]",11.905,"(20, 30]",9.524,0.361,-0.232,1.481
Cabuçu,0.082,0.682,11071.0,0.403,"(150, 160]",7.696,"(50, 60]",6.847,0.118,-0.17,1.566
Mato das Cobras,0.039,0.724,2038.0,1.513,"(150, 160]",9.568,"(160, 170]",8.096,0.23,-0.1,1.44
Morro Grande,0.131,0.649,3444.0,0.692,"(40, 50]",7.811,"(80, 90]",7.375,0.168,-0.247,1.682
Sadokim,-0.122,0.657,521.0,8.257,"(140, 150]",15.355,"(100, 110]",12.86,0.528,0.199,1.666
Bonsucesso,0.035,0.69,9386.0,1.275,"(100, 110]",9.589,"(10, 20]",8.672,0.187,-0.004,1.546
Jardim Presidente Dutra,-0.134,0.674,2592.0,13.872,"(160, 170]",21.373,"(70, 80]",14.313,0.627,0.046,1.566
Lavras,0.051,0.678,787.0,6.478,"(120, 130]",16.01,"(30, 40]",11.309,0.42,0.016,1.482
Aeroporto Internacional Governador André Franco Montoro,0.145,0.667,1598.0,5.161,"(70, 80]",14.456,"(0, 10]",11.452,0.394,-0.295,1.82
Aracília,0.021,0.7,553.0,8.124,"(70, 80]",15.19,"(160, 170]",11.212,0.557,0.006,1.616
Capelinha,0.104,0.716,2220.0,0.827,"(10, 20]",8.108,"(160, 170]",7.748,0.178,-0.173,1.481
Cumbica,0.095,0.684,9412.0,1.91,"(60, 70]",11.432,"(120, 130]",8.309,0.237,-0.17,1.556
Pimentas,0.078,0.684,11697.0,0.552,"(0, 10]",7.515,"(80, 90]",7.463,0.144,-0.135,1.564
Água Azul,0.102,0.749,1896.0,2.448,"(160, 170]",9.441,"(150, 160]",8.439,0.33,-0.223,1.412
Água Chata,0.096,0.707,1582.0,1.875,"(70, 80]",9.545,"(160, 170]",9.418,0.246,-0.209,1.565
Bom Clima,-0.024,0.713,1044.0,8.888,"(40, 50]",14.368,"(130, 140]",13.985,0.558,0.019,1.421
Centro,-0.064,0.679,2343.0,4.727,"(150, 160]",13.359,"(60, 70]",12.975,0.342,0.053,1.532
Fátima,0.156,0.726,1159.0,5.158,"(0, 10]",11.734,"(70, 80]",11.217,0.43,-0.302,1.588
Gopoúva,0.056,0.708,1661.0,2.412,"(0, 10]",10.295,"(140, 150]",8.248,0.314,-0.065,1.521
Itapegica,0.199,0.698,2191.0,7.224,"(10, 20]",13.738,"(100, 110]",13.327,0.483,-0.287,1.611
Taboão,0.079,0.68,5657.0,0.534,"(50, 60]",7.76,"(100, 110]",6.982,0.149,-0.14,1.572
Jardim Vila Galvão,0.06,0.726,1429.0,2.413,"(10, 20]",10.707,"(0, 10]",9.097,0.282,-0.044,1.474
Monte Carmelo,0.281,0.666,513.0,6.082,"(10, 20]",14.62,"(90, 100]",9.552,0.472,-0.548,1.915
Morros,0.051,0.697,2547.0,1.413,"(50, 60]",9.462,"(150, 160]",8.009,0.22,-0.123,1.519
Ponte Grande,0.31,0.662,2104.0,3.675,"(10, 20]",10.409,"(40, 50]",9.696,0.402,-0.68,2.017
Porto da Igreja,0.187,0.613,635.0,18.689,"(50, 60]",28.189,"(60, 70]",8.031,0.538,-0.632,2.013
Torres Tobagy,0.023,0.656,1226.0,3.251,"(80, 90]",11.99,"(120, 130]",10.685,0.304,-0.029,1.66
Vila Augusta,0.114,0.698,2151.0,2.213,"(0, 10]",9.809,"(50, 60]",9.205,0.275,-0.177,1.489
Vila Galvão,0.064,0.674,2490.0,10.756,"(60, 70]",20.201,"(150, 160]",13.333,0.51,-0.275,1.615
Vila Rio,0.03,0.708,3208.0,1.65,"(80, 90]",9.975,"(150, 160]",8.354,0.211,-0.053,1.505
Várzea do Palácio,0.15,0.502,960.0,12.468,"(70, 80]",17.917,"(90, 100]",14.792,0.659,-0.279,2.628
Bananal,0.13,0.669,3901.0,1.679,"(80, 90]",10.638,"(20, 30]",8.767,0.223,-0.268,1.698
Invernada,0.203,0.655,2315.0,1.816,"(60, 70]",9.244,"(40, 50]",8.942,0.269,-0.488,1.869
São João,0.072,0.681,5493.0,1.802,"(60, 70]",10.887,"(150, 160]",8.884,0.232,-0.193,1.54
Tanque Grande,0.039,0.682,1320.0,1.294,"(40, 50]",9.242,"(50, 60]",8.03,0.226,-0.132,1.51
Bela Vista,0.052,0.716,1105.0,14.241,"(160, 170]",18.914,"(70, 80]",17.285,0.668,-0.266,1.536
Fortaleza,0.079,0.702,2658.0,1.157,"(150, 160]",9.067,"(40, 50]",8.164,0.206,-0.165,1.495
Tranquilidade,0.234,0.691,341.0,26.877,"(10, 20]",26.1,"(100, 110]",21.701,0.831,-0.162,1.389
Itaim,0.082,0.705,1962.0,4.115,"(70, 80]",11.315,"(130, 140]",10.601,0.388,-0.146,1.529
Picanço,0.031,0.704,2905.0,1.917,"(120, 130]",8.503,"(130, 140]",7.952,0.292,-0.028,1.395
Maia,-0.243,0.686,1040.0,11.649,"(150, 160]",21.442,"(160, 170]",11.442,0.535,0.447,1.647
São Roque,0.107,0.634,254.0,16.696,"(60, 70]",22.047,"(50, 60]",12.205,0.769,-0.605,2.004
Vila Barros,0.124,0.694,1174.0,6.705,"(50, 60]",12.777,"(0, 10]",12.436,0.5,-0.203,1.634
Cocaia,0.137,0.697,1496.0,6.336,"(0, 10]",15.241,"(90, 100]",9.559,0.485,-0.16,1.652
CECAP,-0.104,0.714,834.0,34.255,"(150, 160]",28.537,"(60, 70]",26.019,0.861,0.015,1.352
Macedo,-0.145,0.688,1223.0,8.962,"(160, 170]",14.064,"(70, 80]",12.428,0.615,0.133,1.417
Paraventi,-0.082,0.701,925.0,9.803,"(150, 160]",17.946,"(120, 130]",13.189,0.559,0.191,1.567
