,count_of_nodes_in_graph,count_of_edges_in_graph,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
ALLANDALE,1511,2852,3.775,130430.277,45.733,2.212,1480,72989.064,1628,44.834,1.0,0.0
BARTON HILLS,1544,2642,3.422,89162.351,33.748,2.116,1480,54614.189,1599,34.155,1.0,0.0
BOULDIN CREEK,897,1670,3.724,60485.105,36.219,2.216,875,31269.876,966,32.37,1.0,0.0
BRENTWOOD,854,1676,3.925,84114.021,50.187,2.258,840,44165.258,933,47.337,1.0,0.0
CENTRAL EAST AUSTIN,856,1777,4.152,71054.409,39.986,2.35,839,37942.885,970,39.116,1.0,0.0
CHESTNUT,231,504,4.364,23412.608,46.454,2.485,229,11832.493,267,44.316,1.0,0.0
CORONADO HILLS,375,546,2.912,22737.141,41.643,2.173,366,16105.784,390,41.297,1.0,0.0
CRESTVIEW,719,1465,4.075,62156.357,42.428,2.264,714,32665.062,788,41.453,1.0,0.0
DAWSON,384,725,3.776,27886.319,38.464,2.19,361,15502.71,393,39.447,1.0,0.0
HERITAGE HILLS,690,1148,3.328,43745.795,38.106,2.17,678,29208.616,722,40.455,1.0,0.0
DOWNTOWN,2903,4660,3.21,112315.206,24.102,2.212,2885,75037.159,3176,23.626,1.0,0.0
EAST CESAR CHAVEZ,542,1107,4.085,50186.858,45.336,2.362,537,27115.38,618,43.876,1.0,0.0
EAST CONGRESS,705,1252,3.552,47981.566,38.324,2.146,692,29416.347,736,39.968,1.0,0.0
EAST OAK HILL,3643,6013,3.301,194063.993,32.274,2.102,3547,129112.08,3792,34.049,1.0,0.0
FRANKLIN PARK,1555,2827,3.636,98419.839,34.814,2.149,1485,56702.456,1652,34.324,1.0,0.0
GALINDO,503,972,3.865,38539.86,39.65,2.179,467,20320.529,524,38.78,1.0,0.0
HIGHLAND,1019,1870,3.67,69990.158,37.428,2.204,1001,38688.171,1087,35.592,1.0,0.0
GARRISON PARK,1783,3435,3.853,104466.198,30.412,2.14,1723,55678.567,1873,29.727,1.0,0.0
GATEWAY,551,612,2.221,22532.266,36.817,2.203,550,21856.874,583,37.49,1.0,0.0
GEORGIAN ACRES,629,968,3.078,48654.759,50.263,2.165,605,31756.657,658,48.262,1.0,0.0
GOVALLE,928,1837,3.959,75847.826,41.289,2.205,911,39912.699,992,40.235,1.0,0.0
HANCOCK,736,1369,3.72,51789.878,37.83,2.216,720,29296.541,777,37.705,1.0,0.0
