,count_of_nodes_in_graph,count_of_edges_in_graph,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
Roslindale,3235,5630,3.481,147849.74,26.261,2.155,3126,89520.569,3421,26.168,1.0,0.0
Jamaica Plain,6716,11064,3.295,194497.655,17.579,2.103,6564,122273.988,7000,17.468,1.0,0.0
Mission Hill,1173,1915,3.265,37650.777,19.661,2.145,1150,24223.315,1233,19.646,1.0,0.0
Longwood,390,625,3.205,13281.461,21.25,2.146,387,8297.028,401,20.691,1.0,0.0
Bay Village,157,170,2.166,2973.672,17.492,2.185,155,2738.999,156,17.558,1.0,0.0
Leather District,116,115,1.983,1812.374,15.76,2.138,116,1781.604,114,15.628,1.0,0.0
Chinatown,657,711,2.164,11828.232,16.636,2.123,656,10892.013,662,16.453,1.0,0.0
North End,706,1007,2.853,15522.963,15.415,2.16,687,11569.632,748,15.467,1.0,0.0
Roxbury,4709,7492,3.182,177434.433,23.683,2.185,4591,121517.789,5070,23.968,1.0,0.0
South End,1687,2489,2.951,52039.613,20.908,2.177,1673,39174.569,1813,21.608,1.0,0.0
Back Bay,1468,1828,2.49,39397.78,21.552,2.155,1458,33953.477,1545,21.976,1.0,0.0
East Boston,4976,6936,2.788,150194.183,21.654,2.116,4892,108878.325,5259,20.703,1.0,0.0
Charlestown,2758,3764,2.73,79475.746,21.115,2.124,2720,61042.334,2901,21.042,1.0,0.0
West End,1576,1836,2.33,21389.402,11.65,2.086,1571,19038.291,1621,11.745,1.0,0.0
Beacon Hill,901,1076,2.388,16460.982,15.298,2.153,893,14600.129,943,15.483,1.0,0.0
Downtown,2609,3054,2.341,46020.155,15.069,2.11,2594,40547.233,2671,15.181,1.0,0.0
Fenway,2049,2763,2.697,53441.857,19.342,2.124,2040,41914.742,2135,19.632,1.0,0.0
Brighton,4766,7456,3.129,164971.484,22.126,2.138,4677,107436.301,5047,21.287,1.0,0.0
West Roxbury,6310,11687,3.704,274433.355,23.482,2.131,6115,155297.007,6658,23.325,1.0,0.0
Mattapan,2457,4385,3.569,116738.899,26.622,2.173,2373,70609.284,2601,27.147,1.0,0.0
Dorchester,11413,17738,3.108,434562.184,24.499,2.172,11193,302281.07,12308,24.56,1.0,0.0
South Boston Waterfront,2211,3232,2.924,59777.95,18.496,2.101,2191,40305.878,2305,17.486,1.0,0.0
South Boston,3379,5429,3.213,133926.591,24.669,2.195,3323,88976.54,3666,24.271,1.0,0.0
Allston,3950,5129,2.597,91608.587,17.861,2.097,3914,70415.173,4099,17.179,1.0,0.0
Harbor Islands,52,102,3.923,1528.906,14.989,1.981,47,764.453,51,14.989,1.0,0.0
