,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
Roslindale,0.117,0.704,5363.0,11.313,"(40, 50]",17.733,"(130, 140]",16.073,0.595,-0.199,1.343
Jamaica Plain,0.112,0.692,10345.0,1.579,"(30, 40]",9.454,"(20, 30]",8.768,0.245,-0.112,1.483
Mission Hill,0.19,0.669,1823.0,7.77,"(110, 120]",15.14,"(20, 30]",13.659,0.51,-0.168,1.462
Longwood,0.263,0.673,615.0,9.972,"(30, 40]",18.537,"(20, 30]",12.033,0.537,-0.509,1.628
Bay Village,-0.172,0.663,170.0,23.355,"(160, 170]",24.706,"(70, 80]",15.294,0.86,0.054,1.552
Leather District,0.402,0.575,114.0,27.122,"(100, 110]",26.316,"(10, 20]",15.789,1.012,-0.363,1.304
Chinatown,0.334,0.622,687.0,18.388,"(10, 20]",23.581,"(100, 110]",16.885,0.694,-0.411,1.776
North End,0.162,0.672,909.0,5.417,"(30, 40]",13.421,"(40, 50]",10.121,0.446,-0.213,1.445
Roxbury,0.06,0.692,7232.0,3.012,"(130, 140]",10.702,"(40, 50]",9.541,0.345,0.015,1.382
South End,0.105,0.697,2460.0,22.281,"(40, 50]",25.447,"(130, 140]",19.512,0.699,-0.251,1.325
Back Bay,-0.103,0.645,1799.0,18.711,"(60, 70]",19.233,"(160, 170]",13.452,0.905,-0.167,1.431
East Boston,0.07,0.679,6528.0,3.598,"(120, 130]",11.075,"(40, 50]",10.034,0.375,-0.077,1.443
Charlestown,-0.009,0.7,3643.0,4.392,"(120, 130]",12.105,"(130, 140]",10.458,0.432,0.128,1.364
West End,0.126,0.677,1720.0,2.283,"(140, 150]",9.186,"(100, 110]",8.663,0.329,-0.196,1.587
Beacon Hill,0.072,0.636,922.0,16.897,"(80, 90]",20.174,"(70, 80]",17.679,0.748,-0.309,2.093
Downtown,0.076,0.692,2922.0,1.185,"(160, 170]",8.522,"(30, 40]",8.145,0.206,-0.148,1.505
Fenway,0.027,0.65,2635.0,3.73,"(60, 70]",12.865,"(90, 100]",10.019,0.355,-0.121,1.721
Brighton,0.143,0.617,7200.0,4.067,"(20, 30]",11.597,"(100, 110]",10.597,0.399,-0.088,1.74
West Roxbury,0.007,0.721,11172.0,5.559,"(130, 140]",14.178,"(40, 50]",13.095,0.371,0.025,1.323
Mattapan,0.144,0.691,4190.0,5.087,"(30, 40]",15.871,"(120, 130]",9.475,0.362,-0.303,1.531
Dorchester,-0.004,0.702,16803.0,2.712,"(70, 80]",10.939,"(160, 170]",10.064,0.308,-0.009,1.508
South Boston Waterfront,0.082,0.631,3140.0,8.422,"(120, 130]",14.14,"(20, 30]",11.656,0.601,0.069,1.477
South Boston,0.115,0.624,4646.0,7.572,"(80, 90]",18.446,"(40, 50]",9.664,0.426,-0.233,1.802
Allston,0.08,0.659,4818.0,1.856,"(90, 100]",10.274,"(0, 10]",7.804,0.27,-0.121,1.692
Harbor Islands,-0.04,0.65,98.0,5.695,"(130, 140]",12.245,"(60, 70]",10.204,0.493,0.26,1.638
