,count_of_nodes_in_graph,count_of_edges_in_graph,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
Grand Boulevard,1159,2390,4.124,105954.874,44.333,2.376,1153,61162.197,1345,45.474,1.0,0.0
Printers Row,152,245,3.224,5769.87,23.55,2.151,147,3803.391,152,25.022,1.0,0.0
United Center,1386,2572,3.711,77478.716,30.124,2.221,1371,47307.683,1506,31.413,1.0,0.0
Sheffield & DePaul,419,799,3.814,24484.757,30.644,2.179,415,13579.188,440,30.862,1.0,0.0
Humboldt Park,3266,5594,3.426,203802.759,36.432,2.257,3231,140250.827,3645,38.478,1.0,0.0
Garfield Park,2748,4976,3.622,189693.447,38.122,2.265,2719,125187.548,3075,40.711,1.0,0.0
North Lawndale,2349,3996,3.402,152452.909,38.151,2.316,2311,108397.603,2687,40.341,1.0,0.0
Little Village,1680,3130,3.726,161878.863,51.718,2.331,1636,108806.592,1926,56.494,1.0,0.0
Armour Square,911,1376,3.021,52654.77,38.267,2.159,905,39862.507,953,41.828,1.0,0.0
Avalon Park,712,1199,3.368,66171.228,55.189,2.395,708,47982.999,823,58.303,1.0,0.0
Burnside,209,423,4.048,21904.052,51.783,2.292,204,12509.094,230,54.387,1.0,0.0
Hermosa,530,969,3.657,55398.956,57.171,2.425,517,39080.828,624,62.63,1.0,0.0
Avondale,1953,3188,3.265,112476.755,35.281,2.237,1938,78788.847,2146,36.714,1.0,0.0
Logan Square,2765,4321,3.125,140712.401,32.565,2.252,2733,102767.885,3049,33.705,1.0,0.0
Calumet Heights,988,1832,3.709,104137.092,56.843,2.42,973,67241.914,1166,57.669,1.0,0.0
East Side,1133,2238,3.951,117407.932,52.461,2.355,1105,76146.17,1316,57.862,1.0,0.0
West Pullman,1581,3103,3.925,184203.576,59.363,2.419,1534,114174.889,1869,61.089,1.0,0.0
Garfield Ridge,1885,3444,3.654,183293.523,53.221,2.415,1849,127515.876,2221,57.414,1.0,0.0
New City,2447,4542,3.712,194394.129,42.799,2.276,2395,123480.641,2745,44.984,1.0,0.0
Englewood,3074,5824,3.789,346251.392,59.453,2.45,3002,230555.515,3717,62.027,1.0,0.0
Grand Crossing,2075,3375,3.253,168934.679,50.055,2.354,2051,127561.863,2376,53.688,1.0,0.0
Ashburn,2125,4584,4.314,279975.027,61.077,2.401,2052,153770.915,2518,61.069,1.0,0.0
Mount Greenwood,927,2045,4.412,128870.863,63.018,2.394,891,67982.447,1060,64.134,1.0,0.0
Morgan Park,2047,3847,3.759,175985.705,45.746,2.286,2002,106494.672,2295,46.403,1.0,0.0
O'Hare,2493,3544,2.843,148323.866,41.852,2.129,2462,104007.842,2577,40.36,1.0,0.0
Jackson Park,550,876,3.185,22686.524,25.898,2.124,548,15226.71,559,27.239,1.0,0.0
Loop,2512,3175,2.528,73964.559,23.296,2.152,2409,62681.418,2653,23.627,1.0,0.0
Pullman,1100,1792,3.258,76559.418,42.723,2.154,1083,51522.551,1148,44.88,1.0,0.0
Riverdale,930,1611,3.465,67881.917,42.137,2.131,903,40519.045,967,41.902,1.0,0.0
Hegewisch,781,1449,3.711,83980.594,57.958,2.27,744,49592.504,861,57.599,1.0,0.0
Greektown,148,200,2.703,4787.068,23.935,2.074,144,3556.483,139,25.586,1.0,0.0
Douglas,1443,2502,3.468,80715.896,32.261,2.176,1422,50945.99,1543,33.017,1.0,0.0
Museum Campus,459,570,2.484,16612.617,29.145,2.092,457,14077.408,468,30.08,1.0,0.0
Edgewater,1118,1902,3.403,70209.922,36.914,2.289,1109,46944.971,1250,37.556,1.0,0.0
Lake View,2808,4718,3.36,145104.037,30.755,2.215,2789,100187.125,3039,32.967,1.0,0.0
Lincoln Park,2246,3965,3.531,120187.932,30.312,2.176,2233,74438.837,2389,31.159,1.0,0.0
Magnificent Mile,204,222,2.176,3757.418,16.925,2.27,204,3654.882,213,17.159,1.0,0.0
Lincoln Square,1446,2671,3.694,113252.795,42.401,2.331,1424,75560.967,1647,45.878,1.0,0.0
Oakland,542,911,3.362,28041.737,30.781,2.207,537,19515.868,579,33.706,1.0,0.0
Grant Park,192,282,2.938,8741.494,30.998,2.219,192,5690.337,197,28.885,1.0,0.0
West Loop,2820,4427,3.14,118380.963,26.741,2.21,2791,84466.583,3059,27.612,1.0,0.0
Fuller Park,760,1156,3.042,48728.84,42.153,2.174,748,37927.744,811,46.767,1.0,0.0
Andersonville,190,306,3.221,16443.395,53.737,2.468,190,11788.546,217,54.325,1.0,0.0
Woodlawn,852,1643,3.857,76584.84,46.613,2.323,831,50095.501,967,51.805,1.0,0.0
Portage Park,2064,3996,3.872,211904.685,53.029,2.43,2048,142709.985,2447,58.32,1.0,0.0
Rush & Division,253,399,3.154,8056.815,20.193,2.221,252,5512.414,262,21.04,1.0,0.0
"Little Italy, UIC",2810,4720,3.359,137573.887,29.147,2.195,2758,88134.775,3048,28.916,1.0,0.0
Kenwood,702,1270,3.618,53427.257,42.069,2.316,695,33789.468,788,42.88,1.0,0.0
Rogers Park,1264,2404,3.804,95931.066,39.905,2.294,1249,58400.536,1427,40.925,1.0,0.0
Jefferson Park,1549,3024,3.904,151771.62,50.189,2.343,1536,86742.996,1773,48.924,1.0,0.0
"Sauganash,Forest Glen",1887,3785,4.012,180254.49,47.623,2.286,1838,97691.434,2097,46.586,1.0,0.0
North Park,931,1702,3.656,82490.618,48.467,2.275,902,51365.356,1022,50.26,1.0,0.0
