,count_of_nodes_in_graph,count_of_edges_in_graph,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
Boyle Heights,5401,9698,3.591,440323.788,45.404,2.215,5279,262023.669,5926,44.216,1.0,0.0
Granada Hills,6030,12102,4.014,535131.315,44.218,2.144,5731,285924.82,6418,44.55,1.0,0.0
Mid-City,2602,4846,3.725,243087.01,50.162,2.282,2541,138090.75,2904,47.552,1.0,0.0
Mid-Wilshire,1746,3583,4.104,177539.665,49.551,2.362,1722,95885.791,2010,47.704,1.0,0.0
East La Mirada,605,1194,3.947,75335.962,63.095,2.225,539,39925.853,655,60.956,1.0,0.0
La Mirada,5061,9723,3.842,433213.97,44.556,2.162,4698,236644.471,5410,43.742,1.0,0.0
Glendora,6108,11494,3.764,531751.266,46.263,2.146,5602,294129.442,6496,45.279,1.0,0.0
La Verne,3697,6922,3.745,319400.543,46.143,2.159,3414,178102.298,3938,45.227,1.0,0.0
San Dimas,5290,9523,3.6,419322.182,44.033,2.124,4885,246516.982,5528,44.594,1.0,0.0
Pacific Palisades,5611,11013,3.926,315125.01,28.614,2.096,5409,165547.801,5853,28.284,1.0,0.0
Claremont,5931,11115,3.748,473818.251,42.629,2.164,5557,266334.542,6364,41.85,1.0,0.0
Ladera Heights,1252,2128,3.399,93636.843,44.002,2.145,1239,53925.384,1311,41.133,1.0,0.0
Westchester,6118,10279,3.36,412229.077,40.104,2.179,6036,253988.864,6577,38.618,1.0,0.0
Inglewood,5873,11093,3.778,526457.353,47.459,2.274,5777,295867.92,6583,44.944,1.0,0.0
Pico-Robertson,803,1761,4.386,76846.056,43.638,2.337,800,38687.501,897,43.13,1.0,0.0
Cerritos,5293,8986,3.395,477633.04,53.153,2.212,4839,300565.455,5761,52.172,1.0,0.0
Lakewood,4260,8682,4.076,601597.449,69.292,2.29,3994,323823.783,4791,67.59,1.0,0.0
Bellflower,3597,7265,4.039,331489.453,45.628,2.186,3479,176493.319,3894,45.324,1.0,0.0
Gardena,3462,7007,4.048,340759.874,48.631,2.259,3325,181896.736,3855,47.185,1.0,0.0
