Name,Centroid Lat - mean - (deg),Centroid Lon - mean - (deg),Centroid Lat - stdev - (deg),Centroid Lon - stdev - (deg),Number of delivery stops,Number of depot stops,Number of packages,Number of delivered packages,Number of rejected packages,Number of failed attempted packages,Avg packages per stop,Rejected packages (%),Delivered packages (%),Failed attempted packages (%),Bbox area - (km^2),Bbox north - (deg),Bbox south - (deg),Bbox east - (deg),Bbox west - (deg),Total Euclidean distance (km),Total Driving distance (km),Total Circuity factor,Avg Euclidean distance per stop (km),Avg Driving distance per stop (km),Avg Circuity factor per stop,Min Circuity factor per stop,Max Circuity factor per stop,Median Circuity factor per stop
RouteID_087e7f16-0b04-4a0a-9799-1302a8312186,34.04179385,-118.2073904,0.006435367,0.00899196,123,1,215,205,0,10,1.74796748,0,0.953488372,0.046511628,80.8252721,34.056581,34.007369,-118.143927,-118.22407,37.26525877,54.72,1.468391789,0.30052628,0.441290323,1.384852483,0.977205187,3.237641234,1.294990862
RouteID_395cb9a6-43fd-4691-8743-ada22aa7478d,34.04338943,-118.2074827,0.006350881,0.008491756,120,1,192,188,0,4,1.6,0,0.979166667,0.020833333,79.1955673,34.056446,34.007369,-118.143927,-118.22267,33.21413687,48.691,1.465972161,0.274496999,0.402404959,1.40268884,0.991783769,3.909247821,1.363147347
RouteID_51f6a16b-4db6-450c-9236-23b60c00327c,34.04507925,-118.2115844,0.004928492,0.006477756,102,1,165,165,0,0,1.617647059,0,1,0,75.63828953,34.054213,34.007369,-118.143927,-118.222717,29.81955636,41.668,1.397338025,0.289510256,0.404543689,1.325168915,0.984816495,3.271086907,1.257526005
RouteID_a6333b24-ec74-449e-9909-e81e875df4c0,34.03691267,-118.2098088,0.005370949,0.01096278,129,1,207,202,0,5,1.604651163,0,0.975845411,0.024154589,74.15358741,34.050989,34.007369,-118.143927,-118.226878,37.77297296,54.841,1.451858186,0.29056133,0.421853846,1.45287205,0.664409273,6.138649395,1.323256872
RouteID_bd23c559-b6a5-4537-9d32-88db04ccec81,34.02567981,-118.1938884,0.002958152,0.00877283,140,1,243,242,0,1,1.735714286,0,0.995884774,0.004115226,33.88117655,34.031788,34.007369,-118.143927,-118.211622,29.87122286,42.631,1.427159517,0.211852644,0.302347518,1.395326115,0.988940667,4.568657613,1.215466417
RouteID_d7e94328-68bd-4d1e-a37c-c8a352cdcb83,34.05529513,-118.1946124,0.00429055,0.011716616,116,1,194,190,0,4,1.672413793,0,0.979381443,0.020618557,79.91084064,34.063429,34.007369,-118.143927,-118.213487,31.77151287,47.051,1.480917833,0.271551392,0.402145299,1.410481702,0.92936034,5.307293471,1.255683259
RouteID_ee701ca4-4b94-463b-98f7-383291c95d4f,34.04199466,-118.2076302,0.00622663,0.009130232,130,1,213,210,0,3,1.638461538,0,0.985915493,0.014084507,79.54760765,34.054493,34.007369,-118.143927,-118.226297,33.70389751,47.37,1.405475435,0.25728166,0.361603053,1.313487208,0.149010414,2.736481833,1.276993017
RouteID_fda25deb-f73c-41df-aeca-e14edfc0c8b2,34.03683715,-118.2123511,0.006068167,0.008696536,93,1,194,193,0,1,2.086021505,0,0.994845361,0.005154639,82.86099894,34.051686,34.007369,-118.143927,-118.235161,30.95708813,44.584,1.440187133,0.329330725,0.474297872,1.432970321,0.989189522,3.172551794,1.364314109
RouteID_07d46ee6-2edc-4d6b-be85-751d2496aaa1,34.28395824,-118.4884744,0.007849692,0.011922466,188,1,278,278,0,0,1.478723404,0,1,0,155.5518737,34.301209,34.23485,-118.469506,-118.58421,50.59116433,75.04,1.483262957,0.267678118,0.397037037,1.443722751,0.915468212,5.519976931,1.243776852
RouteID_30ad3e01-dde1-4cf4-9b8d-c9825da3a2a2,34.28735785,-118.5036274,0.005891531,0.011750859,181,1,257,257,0,0,1.419889503,0,1,0,138.263717,34.302188,34.23485,-118.483736,-118.58421,52.19712973,75.458,1.445635045,0.286797416,0.414604396,1.438050025,0.982521321,5.512673317,1.276341227
