,count_of_nodes_in_graph,count_of_edges_in_graph,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
Loyal Heights,1120,1771,3.163,63687.466,35.961,2.258,1120,32430.304,1235,26.259,1.0,0.0
Adams,1445,2631,3.642,61445.998,23.355,2.182,1441,32246.166,1551,20.791,1.0,0.0
Whittier Heights,918,1354,2.95,43430.403,32.076,2.253,918,23065.298,1011,22.814,1.0,0.0
West Woodland,1652,2823,3.418,68978.552,24.434,2.222,1643,37324.715,1801,20.724,1.0,0.0
Phinney Ridge,1882,3113,3.308,87755.823,28.19,2.252,1872,46516.986,2074,22.429,1.0,0.0
Wallingford,3286,5240,3.189,142773.738,27.247,2.236,3274,77858.688,3637,21.407,1.0,0.0
Fremont,1683,3064,3.641,88660.434,28.936,2.272,1662,47755.057,1874,25.483,1.0,0.0
Green Lake,1950,3597,3.689,79719.221,22.163,2.157,1935,44533.129,2070,21.514,1.0,0.0
View Ridge,624,1257,4.029,42184.363,33.56,2.181,609,21124.878,649,32.55,1.0,0.0
Ravenna,2219,4041,3.642,95747.846,23.694,2.169,2198,48549.18,2361,20.563,1.0,0.0
Sand Point,154,290,3.766,8212.012,28.317,2.071,151,4173.591,151,27.64,1.0,0.0
Bryant,569,1130,3.972,45354.829,40.137,2.309,559,23045.385,628,36.696,1.0,0.0
Windermere,743,1361,3.664,46500.529,34.166,2.184,720,24365.336,778,31.318,1.0,0.0
Laurelhurst,841,1521,3.617,48738.266,32.044,2.205,818,25939.36,900,28.822,1.0,0.0
Roosevelt,1879,3127,3.328,69052.813,22.083,2.193,1875,40757.066,2022,20.157,1.0,0.0
University District,3259,5492,3.37,103081.72,18.769,2.145,3231,63203.748,3466,18.235,1.0,0.0
East Queen Anne,1184,2188,3.696,60738.003,27.76,2.217,1149,32241.02,1280,25.188,1.0,0.0
West Queen Anne,897,1650,3.679,52075.635,31.561,2.239,875,27695.983,968,28.612,1.0,0.0
Lower Queen Anne,899,1661,3.695,46253.196,27.847,2.248,890,25738.111,978,26.317,1.0,0.0
North Queen Anne,1527,2789,3.653,81466.863,29.21,2.221,1506,43565.1,1668,26.118,1.0,0.0
Westlake,186,351,3.774,8818.718,25.125,2.065,176,4959.087,186,26.662,1.0,0.0
Eastlake,462,867,3.753,23968.737,27.646,2.154,451,13774.029,487,28.283,1.0,0.0
South Lake Union,1421,2440,3.434,54283.157,22.247,2.16,1412,32545.526,1498,21.726,1.0,0.0
Lawton Park,1778,3576,4.022,89074.746,24.909,2.132,1736,44951.754,1865,24.103,1.0,0.0
Briarcliff,1486,3084,4.151,73492.459,23.83,2.141,1463,37153.017,1573,23.619,1.0,0.0
Southeast Magnolia,1077,2138,3.97,56469.747,26.412,2.214,1057,29525.235,1160,25.453,1.0,0.0
Madrona,820,1478,3.605,46021.755,31.138,2.245,803,23404.183,892,26.238,1.0,0.0
Harrison/Denny-Blaine,883,1639,3.712,35319.894,21.55,2.143,871,18529.8,921,20.119,1.0,0.0
Minor,1693,2704,3.194,54966.721,20.328,2.191,1692,28227.207,1825,15.467,1.0,0.0
Leschi,1342,2472,3.684,56711.073,22.941,2.164,1303,29023.753,1426,20.353,1.0,0.0
Mann,953,1418,2.976,33069.21,23.321,2.208,952,16989.21,1023,16.607,1.0,0.0
Atlantic,1645,2859,3.476,59315.679,20.747,2.166,1628,31533.82,1732,18.207,1.0,0.0
Pike-Market,164,257,3.134,6497.803,25.283,2.165,160,4442.232,165,26.923,1.0,0.0
Belltown,1229,1816,2.955,38419.965,21.156,2.218,1228,28200.546,1324,21.3,1.0,0.0
International District,602,1011,3.359,19397.178,19.186,2.153,598,11980.192,620,19.323,1.0,0.0
Central Business District,907,1221,2.692,27643.965,22.64,2.18,899,21885.955,957,22.869,1.0,0.0
First Hill,900,1692,3.76,31647.353,18.704,2.163,894,17505.583,949,18.446,1.0,0.0
Yesler Terrace,479,893,3.729,16469.805,18.443,2.129,470,9417.267,492,19.141,1.0,0.0
Pioneer Square,820,1211,2.954,26005.383,21.474,2.163,815,18489.492,857,21.575,1.0,0.0
Interbay,936,1644,3.513,37886.832,23.046,2.104,915,21572.643,946,22.804,1.0,0.0
Industrial District,264,396,3.0,10798.617,27.269,2.117,261,7533.321,255,29.542,1.0,0.0
Georgetown,1186,2160,3.642,66932.497,30.987,2.19,1172,36253.453,1275,28.434,1.0,0.0
South Park,1201,2025,3.372,68350.366,33.753,2.139,1156,40946.478,1260,32.497,1.0,0.0
Harbor Island,235,402,3.421,15713.94,39.089,2.106,230,9202.565,243,37.871,1.0,0.0
Seaview,556,1087,3.91,42573.501,39.166,2.191,528,21365.722,582,36.711,1.0,0.0
Gatewood,743,1455,3.917,59237.167,40.713,2.262,719,30003.275,804,37.318,1.0,0.0
Arbor Heights,630,1283,4.073,59879.144,46.671,2.246,609,29995.998,675,44.439,1.0,0.0
Alki,978,1923,3.933,60418.884,31.419,2.141,940,30808.121,1007,30.594,1.0,0.0
North Admiral,2110,4036,3.826,125712.818,31.148,2.195,2043,64348.75,2262,28.448,1.0,0.0
Fairmount Park,908,1434,3.159,39973.24,27.875,2.198,893,20975.384,959,21.872,1.0,0.0
Genesee,968,1646,3.401,53999.808,32.807,2.246,962,28773.481,1046,27.508,1.0,0.0
Fauntleroy,1228,2301,3.748,59036.585,25.657,2.102,1176,30185.69,1251,24.129,1.0,0.0
North Beacon Hill,2717,4678,3.444,118749.559,25.385,2.183,2666,65464.088,2908,22.512,1.0,0.0
Mid-Beacon Hill,2360,4168,3.532,129724.774,31.124,2.167,2272,71814.196,2494,28.795,1.0,0.0
South Beacon Hill,1190,2038,3.425,69546.719,34.125,2.134,1131,44687.088,1236,36.155,1.0,0.0
Holly Park,497,872,3.509,19472.636,22.331,2.157,494,10534.579,514,20.495,1.0,0.0
Brighton,1050,1733,3.301,48950.302,28.246,2.194,1030,25741.193,1129,22.8,1.0,0.0
Dunlap,716,1417,3.958,41552.684,29.324,2.142,680,21445.518,748,28.67,1.0,0.0
Rainier Beach,911,1726,3.789,68120.008,39.467,2.201,869,35497.072,967,36.708,1.0,0.0
Rainier View,470,936,3.983,35061.357,37.459,2.14,441,17575.381,470,37.394,1.0,0.0
Mount Baker,1495,2699,3.611,89616.228,33.203,2.213,1466,47664.731,1623,29.368,1.0,0.0
Columbia City,2305,3802,3.299,98995.072,26.038,2.198,2270,53697.161,2470,21.74,1.0,0.0
Highland Park,899,1561,3.473,62986.162,40.35,2.185,867,33084.732,947,34.936,1.0,0.0
North Delridge,842,1515,3.599,44774.577,29.554,2.115,806,24133.527,866,27.868,1.0,0.0
Riverview,679,1224,3.605,40400.72,33.007,2.094,654,21038.9,680,30.94,1.0,0.0
High Point,1053,1831,3.478,44624.747,24.372,2.142,1037,23010.648,1096,20.995,1.0,0.0
South Delridge,787,1361,3.459,46897.307,34.458,2.236,775,23897.545,851,28.082,1.0,0.0
Roxhill,699,1178,3.371,44619.347,37.877,2.252,693,22551.869,756,29.831,1.0,0.0
Seward Park,1276,2398,3.759,84878.267,35.395,2.201,1223,43528.1,1378,31.588,1.0,0.0
Wedgwood,1357,2424,3.573,80935.605,33.389,2.2,1324,40850.617,1460,27.98,1.0,0.0
Portage Bay,342,600,3.509,15766.523,26.278,2.108,334,9113.685,351,25.965,1.0,0.0
Montlake,1605,2695,3.358,55870.858,20.731,2.141,1575,31354.72,1680,18.664,1.0,0.0
Madison Park,535,969,3.622,30294.619,31.264,2.211,521,15921.603,573,27.786,1.0,0.0
Broadway,2255,3990,3.539,96807.943,24.263,2.198,2244,52575.03,2437,21.574,1.0,0.0
Stevens,1627,2699,3.318,74919.374,27.758,2.216,1619,38876.73,1762,22.064,1.0,0.0
Victory Heights,1293,2052,3.174,52617.599,25.642,2.164,1264,27502.403,1370,20.075,1.0,0.0
Matthews Beach,986,1918,3.89,72382.849,37.739,2.141,926,36265.608,1022,35.485,1.0,0.0
Meadowbrook,550,1023,3.72,34543.754,33.767,2.151,532,17568.141,567,30.984,1.0,0.0
Olympic Hills,1144,2010,3.514,61320.226,30.508,2.178,1122,31187.647,1218,25.606,1.0,0.0
Cedar Park,858,1560,3.636,38420.385,24.628,2.108,841,19795.337,878,22.546,1.0,0.0
Broadview,1395,2526,3.622,85603.596,33.889,2.173,1355,43264.371,1492,28.998,1.0,0.0
Bitter Lake,1166,1954,3.352,54242.79,27.76,2.176,1145,27860.937,1234,22.578,1.0,0.0
Haller Lake,1643,3040,3.701,95329.024,31.358,2.169,1599,51216.77,1750,29.267,1.0,0.0
Pinehurst,1116,1935,3.468,56331.535,29.112,2.144,1076,31683.244,1173,27.01,1.0,0.0
North Beach/Blue Ridge,1056,2147,4.066,71125.22,33.128,2.152,995,35660.452,1105,32.272,1.0,0.0
North College Park,1192,1907,3.2,49021.257,25.706,2.154,1181,28969.046,1251,23.157,1.0,0.0
Maple Leaf,1867,3145,3.369,85125.764,27.067,2.165,1842,45779.585,1982,23.098,1.0,0.0
Crown Hill,839,1367,3.259,38624.677,28.255,2.187,829,19812.009,892,22.211,1.0,0.0
Greenwood,3071,4901,3.192,122485.097,24.992,2.195,3065,64109.067,3334,19.229,1.0,0.0
Sunset Hill,833,1638,3.933,58110.213,35.476,2.226,809,29196.358,903,32.333,1.0,0.0
