,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
Loyal Heights,0.17,0.546,1308.0,41.22,"(80, 90]",37.462,"(0, 10]",14.297,0.94,-0.063,2.477
Adams,0.096,0.601,2191.0,29.877,"(80, 90]",22.547,"(90, 100]",22.136,1.033,0.059,2.082
Whittier Heights,0.143,0.574,1058.0,26.148,"(80, 90]",30.151,"(90, 100]",13.8,0.775,-0.094,2.285
West Woodland,0.182,0.544,2272.0,50.701,"(90, 100]",34.771,"(80, 90]",21.303,1.224,0.192,2.331
Phinney Ridge,0.227,0.611,2702.0,22.771,"(0, 10]",21.244,"(90, 100]",21.244,0.827,-0.166,1.96
Wallingford,0.246,0.617,4772.0,26.535,"(90, 100]",24.371,"(0, 10]",24.015,0.822,-0.209,1.931
Fremont,0.207,0.622,2622.0,25.219,"(0, 10]",24.638,"(80, 90]",17.315,0.919,-0.072,1.847
Green Lake,0.129,0.653,3106.0,14.996,"(90, 100]",23.471,"(0, 10]",14.392,0.565,-0.107,1.732
View Ridge,0.041,0.605,997.0,17.585,"(90, 100]",26.58,"(80, 90]",11.735,0.573,-0.017,2.092
Ravenna,0.119,0.564,2831.0,29.841,"(80, 90]",27.128,"(90, 100]",21.688,0.917,0.076,2.331
Sand Point,-0.156,0.735,194.0,34.323,"(80, 90]",25.773,"(160, 170]",19.588,1.121,0.312,1.673
Bryant,0.186,0.506,825.0,29.302,"(80, 90]",27.273,"(90, 100]",22.303,0.883,-0.104,2.69
Windermere,0.126,0.618,1198.0,5.225,"(90, 100]",13.773,"(80, 90]",11.519,0.417,-0.234,1.866
Laurelhurst,0.001,0.649,1282.0,8.664,"(90, 100]",16.615,"(80, 90]",13.885,0.505,0.107,1.842
Roosevelt,0.092,0.55,2341.0,37.807,"(90, 100]",36.309,"(80, 90]",14.481,0.888,0.141,2.405
University District,0.279,0.625,4956.0,29.475,"(0, 10]",26.735,"(90, 100]",23.769,0.863,-0.216,1.789
East Queen Anne,0.108,0.657,1907.0,21.519,"(0, 10]",20.399,"(80, 90]",19.088,0.806,-0.044,1.866
West Queen Anne,0.103,0.66,1488.0,27.068,"(0, 10]",22.984,"(90, 100]",19.96,0.918,0.029,1.839
Lower Queen Anne,0.242,0.618,1437.0,59.212,"(90, 100]",35.351,"(0, 10]",31.733,1.212,0.019,1.719
North Queen Anne,0.157,0.649,2373.0,13.327,"(0, 10]",19.216,"(80, 90]",15.803,0.63,-0.071,1.755
Westlake,0.172,0.718,281.0,44.794,"(0, 10]",31.673,"(90, 100]",19.573,1.252,-0.199,1.755
Eastlake,0.323,0.619,749.0,30.034,"(0, 10]",21.629,"(90, 100]",19.092,1.083,-0.352,1.917
South Lake Union,0.345,0.553,1960.0,34.402,"(90, 100]",24.133,"(0, 10]",22.755,1.036,-0.258,2.121
Lawton Park,0.123,0.622,3001.0,22.257,"(80, 90]",21.826,"(90, 100]",18.261,0.82,-0.041,2.04
Briarcliff,0.124,0.716,2746.0,11.591,"(0, 10]",19.993,"(80, 90]",13.328,0.565,-0.132,1.519
Southeast Magnolia,0.352,0.576,1884.0,56.563,"(0, 10]",33.493,"(80, 90]",29.724,1.287,-0.276,2.116
Madrona,0.268,0.678,1350.0,29.107,"(0, 10]",27.259,"(90, 100]",23.185,0.82,-0.35,1.79
Harrison/Denny-Blaine,0.152,0.705,1496.0,8.583,"(0, 10]",17.313,"(90, 100]",14.372,0.467,-0.206,1.605
