Destination;Lat1;Lon1
P1;-23,43112396;-46,34915842
P2;-23,43112396;-46,34525484
P3;-23,43112396;-46,34135126
P4;-23,43112396;-46,33744768
P5;-23,43112396;-46,3335441
P6;-23,43112396;-46,32964051
P7;-23,43112396;-46,32573693
P8;-23,43112396;-46,32183335
P9;-23,43112396;-46,31792977
P10;-23,43112396;-46,31402619
P11;-23,43112396;-46,31012261
P12;-23,43112396;-46,30621902
P13;-23,43112396;-46,30231544
P14;-23,43112396;-46,29841186
P15;-23,43112396;-46,29450828
P16;-23,43112396;-46,2906047
P17;-23,43112396;-46,28670112
P18;-23,43112396;-46,28279754
P19;-23,43112396;-46,27889395
P20;-23,43112396;-46,27499037
P21;-23,43112396;-46,27108679
P22;-23,43112396;-46,353062
P23;-23,43112396;-46,26718321
P24;-23,43112396;-46,36086917
P25;-23,43112396;-46,35696558
P26;-23,43112396;-46,26327963
P27;-23,43112396;-46,25937605
P28;-23,43112396;-46,36477275
P29;-23,43112396;-46,25547246
P30;-23,43112396;-46,36867633
P31;-23,43112396;-46,25156888
P32;-23,43112396;-46,37257991
P33;-23,43112396;-46,2476653
P34;-23,43112396;-46,37648349
P35;-23,43112396;-46,24376172
P36;-23,42722038;-46,34915842
P37;-23,42722038;-46,34525484
P38;-23,42722038;-46,34135126
P39;-23,42722038;-46,33744768
P40;-23,42722038;-46,3335441
P41;-23,42722038;-46,32964051
P42;-23,42722038;-46,32573693
P43;-23,42722038;-46,32183335
P44;-23,42722038;-46,31792977
P45;-23,42722038;-46,31402619
P46;-23,42722038;-46,31012261
P47;-23,42722038;-46,30621902
P48;-23,42722038;-46,30231544
P49;-23,42722038;-46,29841186
P50;-23,42722038;-46,29450828
P51;-23,42722038;-46,2906047
P52;-23,42722038;-46,28670112
P53;-23,42722038;-46,28279754
P54;-23,42722038;-46,27889395
P55;-23,42722038;-46,27499037
P56;-23,42722038;-46,27108679
P57;-23,42722038;-46,353062
P58;-23,42722038;-46,26718321
P59;-23,42722038;-46,36086917
P60;-23,42722038;-46,35696558
P61;-23,42722038;-46,26327963
P62;-23,42722038;-46,25937605
P63;-23,42722038;-46,36477275
P64;-23,42722038;-46,25547246
P65;-23,42722038;-46,36867633
P66;-23,42722038;-46,25156888
P67;-23,42722038;-46,37257991
P68;-23,42722038;-46,2476653
P69;-23,42722038;-46,37648349
P70;-23,42722038;-46,24376172
P71;-23,42722038;-46,38038707
P72;-23,42722038;-46,23985814
P73;-23,4233168;-46,34915842
P74;-23,4233168;-46,34525484
P75;-23,4233168;-46,34135126
P76;-23,4233168;-46,33744768
P77;-23,4233168;-46,3335441
P78;-23,4233168;-46,32964051
P79;-23,4233168;-46,32573693
P80;-23,4233168;-46,32183335
P81;-23,4233168;-46,31792977
P82;-23,4233168;-46,31402619
P83;-23,4233168;-46,31012261
P84;-23,4233168;-46,30621902
P85;-23,4233168;-46,30231544
P86;-23,4233168;-46,29841186
P87;-23,4233168;-46,29450828
P88;-23,4233168;-46,2906047
P89;-23,4233168;-46,28670112
P90;-23,4233168;-46,28279754
P91;-23,4233168;-46,27889395
P92;-23,4233168;-46,27499037
P93;-23,4233168;-46,27108679
P94;-23,4233168;-46,353062
P95;-23,4233168;-46,26718321
P96;-23,4233168;-46,36086917
P97;-23,4233168;-46,35696558
P98;-23,4233168;-46,26327963
P99;-23,4233168;-46,25937605
P100;-23,4233168;-46,36477275
P101;-23,4233168;-46,25547246
P102;-23,4233168;-46,36867633
P103;-23,4233168;-46,25156888
P104;-23,4233168;-46,37257991
P105;-23,4233168;-46,2476653
P106;-23,4233168;-46,37648349
P107;-23,4233168;-46,24376172
P108;-23,4233168;-46,38038707
P109;-23,4233168;-46,23985814
P110;-23,41941322;-46,34915842
P111;-23,41941322;-46,34525484
P112;-23,41941322;-46,34135126
P113;-23,41941322;-46,33744768
P114;-23,41941322;-46,3335441
P115;-23,41941322;-46,32964051
P116;-23,41941322;-46,32573693
P117;-23,41941322;-46,32183335
P118;-23,41941322;-46,31792977
P119;-23,41941322;-46,31402619
P120;-23,41941322;-46,31012261
P121;-23,41941322;-46,30621902
P122;-23,41941322;-46,30231544
P123;-23,41941322;-46,29841186
P124;-23,41941322;-46,29450828
P125;-23,41941322;-46,2906047
P126;-23,41941322;-46,28670112
P127;-23,41941322;-46,28279754
P128;-23,41941322;-46,27889395
P129;-23,41941322;-46,27499037
P130;-23,41941322;-46,27108679
P131;-23,41941322;-46,353062
P132;-23,41941322;-46,26718321
P133;-23,41941322;-46,36086917
P134;-23,41941322;-46,35696558
P135;-23,41941322;-46,26327963
P136;-23,41941322;-46,25937605
P137;-23,41941322;-46,36477275
P138;-23,41941322;-46,25547246
P139;-23,41941322;-46,36867633
P140;-23,41941322;-46,25156888
P141;-23,41941322;-46,37257991
P142;-23,41941322;-46,2476653
P143;-23,41941322;-46,37648349
P144;-23,41941322;-46,24376172
P145;-23,41941322;-46,38038707
P146;-23,41941322;-46,23985814
P147;-23,41550963;-46,34915842
P148;-23,41550963;-46,34525484
P149;-23,41550963;-46,34135126
P150;-23,41550963;-46,33744768
P151;-23,41550963;-46,3335441
P152;-23,41550963;-46,32964051
P153;-23,41550963;-46,32573693
P154;-23,41550963;-46,32183335
P155;-23,41550963;-46,31792977
P156;-23,41550963;-46,31402619
P157;-23,41550963;-46,31012261
P158;-23,41550963;-46,30621902
P159;-23,41550963;-46,30231544
P160;-23,41550963;-46,29841186
P161;-23,41550963;-46,29450828
P162;-23,41550963;-46,2906047
P163;-23,41550963;-46,28670112
P164;-23,41550963;-46,28279754
P165;-23,41550963;-46,27889395
P166;-23,41550963;-46,27499037
P167;-23,41550963;-46,27108679
P168;-23,41550963;-46,353062
P169;-23,41550963;-46,26718321
P170;-23,41550963;-46,36086917
P171;-23,41550963;-46,35696558
P172;-23,41550963;-46,26327963
P173;-23,41550963;-46,25937605
P174;-23,41550963;-46,36477275
P175;-23,41550963;-46,25547246
P176;-23,41550963;-46,36867633
P177;-23,41550963;-46,25156888
P178;-23,41550963;-46,37257991
P179;-23,41550963;-46,2476653
P180;-23,41550963;-46,37648349
P181;-23,41550963;-46,24376172
P182;-23,41550963;-46,38038707
P183;-23,41550963;-46,23985814
P184;-23,41550963;-46,38429066
P185;-23,41550963;-46,23595456
P186;-23,41160605;-46,34915842
P187;-23,41160605;-46,34525484
P188;-23,41160605;-46,34135126
P189;-23,41160605;-46,33744768
P190;-23,41160605;-46,3335441
P191;-23,41160605;-46,32964051
P192;-23,41160605;-46,32573693
P193;-23,41160605;-46,32183335
P194;-23,41160605;-46,31792977
P195;-23,41160605;-46,31402619
P196;-23,41160605;-46,31012261
P197;-23,41160605;-46,30621902
P198;-23,41160605;-46,30231544
P199;-23,41160605;-46,29841186
P200;-23,41160605;-46,29450828
P201;-23,41160605;-46,2906047
P202;-23,41160605;-46,28670112
P203;-23,41160605;-46,28279754
P204;-23,41160605;-46,27889395
P205;-23,41160605;-46,27499037
P206;-23,41160605;-46,27108679
P207;-23,41160605;-46,353062
P208;-23,41160605;-46,26718321
P209;-23,41160605;-46,36086917
P210;-23,41160605;-46,35696558
P211;-23,41160605;-46,26327963
P212;-23,41160605;-46,25937605
P213;-23,41160605;-46,36477275
P214;-23,41160605;-46,25547246
P215;-23,41160605;-46,36867633
P216;-23,41160605;-46,25156888
P217;-23,41160605;-46,37257991
P218;-23,41160605;-46,2476653
P219;-23,41160605;-46,37648349
P220;-23,41160605;-46,24376172
P221;-23,41160605;-46,38038707
P222;-23,41160605;-46,23985814
P223;-23,41160605;-46,38429066
P224;-23,41160605;-46,23595456
P225;-23,40770247;-46,34915842
P226;-23,40770247;-46,34525484
P227;-23,40770247;-46,34135126
P228;-23,40770247;-46,33744768
P229;-23,40770247;-46,3335441
P230;-23,40770247;-46,32964051
P231;-23,40770247;-46,32573693
P232;-23,40770247;-46,32183335
P233;-23,40770247;-46,31792977
P234;-23,40770247;-46,31402619
P235;-23,40770247;-46,31012261
P236;-23,40770247;-46,30621902
P237;-23,40770247;-46,30231544
P238;-23,40770247;-46,29841186
P239;-23,40770247;-46,29450828
P240;-23,40770247;-46,2906047
P241;-23,40770247;-46,28670112
P242;-23,40770247;-46,28279754
P243;-23,40770247;-46,27889395
P244;-23,40770247;-46,27499037
P245;-23,40770247;-46,27108679
P246;-23,40770247;-46,353062
P247;-23,40770247;-46,26718321
P248;-23,40770247;-46,36086917
P249;-23,40770247;-46,35696558
P250;-23,40770247;-46,26327963
P251;-23,40770247;-46,25937605
P252;-23,40770247;-46,36477275
P253;-23,40770247;-46,25547246
P254;-23,40770247;-46,36867633
P255;-23,40770247;-46,25156888
P256;-23,40770247;-46,37257991
P257;-23,40770247;-46,2476653
P258;-23,40770247;-46,37648349
P259;-23,40770247;-46,24376172
P260;-23,40770247;-46,38038707
P261;-23,40770247;-46,23985814
P262;-23,40770247;-46,38429066
P263;-23,40770247;-46,23595456
P264;-23,40379889;-46,34915842
P265;-23,40379889;-46,34525484
P266;-23,40379889;-46,34135126
P267;-23,40379889;-46,33744768
P268;-23,40379889;-46,3335441
P269;-23,40379889;-46,32964051
P270;-23,40379889;-46,32573693
P271;-23,40379889;-46,32183335
P272;-23,40379889;-46,31792977
P273;-23,40379889;-46,31402619
P274;-23,40379889;-46,31012261
