route_id,bbox_north,bbox_south,bbox_east,bbox_west
RouteID_4db24e6e-58e3-489f-8422-a1c3515b0591,34.036354,34.007369,-118.143927,-118.30027
RouteID_67da99e8-4bf6-4045-b5f7-816780a0099f,34.036343,34.007369,-118.143927,-118.300086
RouteID_7a562420-3604-4b49-86e4-e54be08f64d8,34.036112,34.007369,-118.143927,-118.300279
RouteID_90da1269-9ea6-4b43-9fb8-db3d9ff10074,34.036354,34.007369,-118.143927,-118.300281
RouteID_05d1a771-aa16-43b6-ab00-9ad7161d5617,34.248618,34.22256,-118.417681,-118.58421
RouteID_51194935-19ab-4948-b7ca-48e4fc0c88f3,34.264932,34.23485,-118.424627,-118.58421
RouteID_8c004630-9e70-4f13-a33e-011ed1d6f47b,34.239025,34.222583,-118.412406,-118.58421
RouteID_1159e81d-0d3a-48fd-8771-154fd77c934f,34.051901,33.918699,-118.304495,-118.327648
RouteID_522e01fd-6ca9-4e2e-996b-f1dca9b9aae6,34.055598,33.918699,-118.30906,-118.32778
RouteID_62c8b9eb-ae40-45ce-86bd-e19cc459b3db,33.918699,33.858863,-118.06458,-118.324843
RouteID_252e3640-9a9e-4979-aa9d-37346d872352,33.918699,33.857509,-118.062228,-118.324843
RouteID_7c744e04-75ba-4f80-915c-d838b8a39827,34.034883,33.918699,-118.324843,-118.379375
RouteID_3fcd6e73-c461-4d33-9010-c831347aa679,34.129891,33.918699,-118.324843,-118.498253
RouteID_523b64fa-55d8-4731-878f-9aae7c4b3ffd,34.113753,33.918699,-118.324843,-118.47347
RouteID_68c2ed3b-c2a0-4cb2-a875-ea518f2bb784,34.104401,33.918699,-118.324843,-118.46025
RouteID_9027d49b-ca23-4acb-bdbc-8863919f16c1,34.129035,33.918699,-118.324843,-118.482367
RouteID_cbc8fc3b-2652-4e59-8b86-9f674381f6ed,34.105063,33.918699,-118.324843,-118.46268
RouteID_e3bb3edf-8a03-4aa6-9ea7-ba76ac7bb91d,34.128565,33.918699,-118.324843,-118.478069
RouteID_ed832636-5ecd-49e0-aa53-605c824c80c3,34.128346,33.918699,-118.324843,-118.482367
RouteID_1bcf3f03-bb29-4cef-a5b5-d48ba2edbc4d,34.130011,33.918699,-118.324843,-118.498253
RouteID_570da705-c87e-48e4-a788-29cb7063b74d,34.131063,33.918699,-118.324843,-118.497436
RouteID_a5b26a24-ad6e-4fae-87df-4be4ca004a40,34.132035,33.918699,-118.324843,-118.498253
RouteID_1b831b48-5ba3-4f1b-b994-992a9305259a,34.007369,33.970785,-118.143927,-118.205479
RouteID_f84d6696-3340-4173-a3b1-a41ef5294178,34.007369,33.969913,-118.143927,-118.20332
RouteID_54a52d70-8840-4fa3-81be-af11da123d59,34.007369,33.965632,-118.143927,-118.200916
RouteID_ab5a6947-06f4-4ea1-b4a4-ceaf94f1f3e2,34.007369,33.970711,-118.143927,-118.205576
RouteID_088b3069-d09e-4bc4-a540-46ca0feec1fd,33.918699,33.880607,-118.109699,-118.324843
RouteID_24afe5b8-9923-491a-bfc1-b5285abaf694,33.918699,33.86609,-118.126095,-118.324843
RouteID_25513a0b-fd0f-4cea-aff9-b164dced9638,33.918699,33.878453,-118.109697,-118.324843
RouteID_67438082-4a7e-4e28-b4ac-3a4ac7e4d16b,33.918699,33.870378,-118.126122,-118.324843
RouteID_9bb1c3d2-d889-4280-9962-12c00618b3f6,33.918699,33.87662,-118.127287,-118.324843
RouteID_ad97f1a6-f155-46b2-9214-c4db22ad364e,33.918699,33.880936,-118.109658,-118.324843
RouteID_d0da14b8-a995-4b91-9428-40a98ecbe141,33.918699,33.863099,-118.105997,-118.324843
RouteID_11fcf1bc-dbc0-4451-9646-009cd91672ba,33.918699,33.863089,-118.105875,-118.324843
RouteID_3792abbe-67d1-4ea1-a128-3700b2aaf247,33.918699,33.863099,-118.105667,-118.324843
RouteID_3896aca0-c730-4df5-ad1d-ca80bbd66fe3,33.918699,33.882034,-118.119147,-118.324843
RouteID_54e2cec8-1a26-402a-b838-8e17b6da331b,33.918699,33.883765,-118.110129,-118.324843
RouteID_65a336ab-f388-4cdb-9d5a-23bbd388553e,33.918699,33.86609,-118.127112,-118.324843
RouteID_e4bf9524-79c1-462c-a1ee-ce530d288ade,33.918699,33.863099,-118.105667,-118.324843
RouteID_0cb5baba-ba3f-46ea-8e45-c3cd8158cd14,34.23485,34.099621,-118.391541,-118.58421
RouteID_7ecec2fa-772d-4b0d-8c2a-8ee2536ada58,34.23485,34.099732,-118.421001,-118.58421
RouteID_b0247521-0be6-4623-b357-521b0a713037,34.23485,34.103233,-118.393481,-118.58421
RouteID_37ff4419-741f-4b06-9551-7e4179a5a560,34.23485,34.086748,-118.392652,-118.58421
RouteID_583e5462-0015-4a27-83d8-991d0bd0cdd2,34.132992,33.918699,-118.324843,-118.465615
RouteID_e3f9b868-fbf8-4452-a8b6-04272d6db22d,34.083765,33.918699,-118.324843,-118.371061
RouteID_13ad9c2a-6ce8-4a58-b36d-c7bf56e1578d,34.07386,33.918699,-118.324843,-118.376092
RouteID_b002b8a2-4b52-45a6-9465-44bbd15dae4d,34.079919,33.918699,-118.324843,-118.372318
RouteID_edffb998-435f-4dc1-850b-4bf343d70d77,34.075401,33.918699,-118.324843,-118.373722
RouteID_f4af3421-0f38-4a00-aef8-db7778bd12db,34.083498,33.918699,-118.324843,-118.375754
RouteID_1061c303-94d1-4bac-b556-bdac106a19c4,34.23485,34.067659,-118.405361,-118.58421
RouteID_d4f5b888-0b6f-4d9b-a2be-847fdaa37560,34.23485,34.07349,-118.389785,-118.58421
RouteID_eddca9d7-37dc-4521-91e8-0d84e9a62428,34.23485,34.07212,-118.389791,-118.58421
RouteID_390f5c8d-b355-45bf-a3d5-202ad6481475,34.067062,33.918699,-118.324843,-118.403467
RouteID_43aa044b-75d0-4fb6-bd65-f86c51846d9f,34.066469,33.918699,-118.324843,-118.401283
RouteID_9a8d3b90-a9bc-4cf6-bfc0-728ba3f1e9c7,34.066269,33.918699,-118.324843,-118.388833
RouteID_acad95d0-d87b-4e48-a761-906642d82109,34.067061,33.918699,-118.324843,-118.398425
RouteID_b224c8d2-65a0-4f01-b004-d5dacaab1643,34.23485,34.07119,-118.389736,-118.58421
RouteID_b647991d-741b-45c8-b0ed-b67148940f1d,34.06647,33.918699,-118.324843,-118.399108
RouteID_bc0ff197-1c8c-4a39-ba62-39e48081f56f,34.072274,33.918699,-118.324843,-118.380123
RouteID_e716a63a-4973-415c-9bdb-abd2fb52c38f,34.073211,33.918699,-118.324843,-118.387705
RouteID_a99c1bfb-d13d-4173-9e0a-959d727f37ce,34.056003,33.918699,-118.324843,-118.401596
RouteID_bd560acf-1310-4dad-abf2-8db8f697b18a,34.056012,33.918699,-118.324843,-118.401349
RouteID_fc796f34-4e97-4fbc-ba06-a118989bccbc,34.061541,33.918699,-118.324843,-118.406107
RouteID_1aa6f111-735e-4c56-9aad-65f08c4aed70,34.044539,33.918699,-118.324843,-118.399115
RouteID_2fac13dc-55f3-4a80-82a8-22418dcfa54c,34.055904,33.918699,-118.324843,-118.401784
RouteID_850269aa-cf49-4113-9d8e-14711cf8682f,34.056114,33.918699,-118.324843,-118.401316
RouteID_bfed049b-af16-4a81-99aa-28b1dedce5f3,34.046218,33.918699,-118.324843,-118.399761
RouteID_c71a3985-f65d-4d04-ae6c-95b59a997620,34.041325,33.918699,-118.324843,-118.398856
RouteID_395cb9a6-43fd-4691-8743-ada22aa7478d,34.056446,34.007369,-118.143927,-118.22267
RouteID_51f6a16b-4db6-450c-9236-23b60c00327c,34.054213,34.007369,-118.143927,-118.222717
RouteID_a6333b24-ec74-449e-9909-e81e875df4c0,34.050989,34.007369,-118.143927,-118.226878
RouteID_bd23c559-b6a5-4537-9d32-88db04ccec81,34.031788,34.007369,-118.143927,-118.211622
RouteID_087e7f16-0b04-4a0a-9799-1302a8312186,34.056581,34.007369,-118.143927,-118.22407
RouteID_d7e94328-68bd-4d1e-a37c-c8a352cdcb83,34.063429,34.007369,-118.143927,-118.213487
RouteID_ee701ca4-4b94-463b-98f7-383291c95d4f,34.054493,34.007369,-118.143927,-118.226297
RouteID_fda25deb-f73c-41df-aeca-e14edfc0c8b2,34.051686,34.007369,-118.143927,-118.235161
RouteID_1776d3ec-9753-48c7-9112-ef987b550413,34.084801,33.918699,-118.324843,-118.509627
RouteID_74d2b48c-d203-483e-b2b1-3fe4c66de4ba,34.090068,33.918699,-118.324843,-118.474458
RouteID_ab767adb-255e-4cfe-8791-aedffeccc5c4,34.08259,33.918699,-118.324843,-118.494018
RouteID_ac29a4ff-5b20-45c2-b543-40e370d364be,34.127026,33.918699,-118.324843,-118.510655
RouteID_e7bceef0-724d-4ca6-b4be-c36361b132f2,34.108946,33.918699,-118.324843,-118.510655
RouteID_6b308348-39e6-45d8-8621-7cf8efaeae0f,34.007369,33.940122,-118.143927,-118.282391
RouteID_16328208-4ba3-482e-997f-ceec7bdb8978,34.23485,34.135686,-118.58421,-118.709577
RouteID_1a820acb-b9e5-41ee-958b-7da046bf5a9f,34.23485,34.133853,-118.58421,-118.666576
RouteID_65950c5f-ee82-40c0-a0db-d0b6060274a8,34.23485,34.133658,-118.58421,-118.666683
RouteID_91f12962-7f76-4e66-aa38-ebcd53923073,34.23485,34.122219,-118.58421,-118.65425
RouteID_b3720d0d-9473-4e3b-ba17-833f92f28611,34.23485,34.127223,-118.58421,-118.683958
RouteID_c5ec503d-bc1f-4334-be7f-3d3f4a06f213,34.23485,34.131325,-118.58421,-118.63839
RouteID_eb2fd7d2-7145-40e0-8a80-5c49b8d4aee2,34.23485,34.129715,-118.58421,-118.667475
RouteID_f1ccc89d-28cd-47ae-af02-7d5720d642f6,34.23485,34.12721,-118.58421,-118.684265
RouteID_c43a5dfd-476a-4437-bea5-93a41495f922,34.23485,34.133868,-118.58421,-118.666816
RouteID_e0d69e89-00ec-42a1-ba4b-6a8e6f157175,34.23485,34.123424,-118.58421,-118.653908
RouteID_09a5440f-82cb-4b2a-a612-276cb58573a1,33.918699,33.786672,-118.254712,-118.324843
RouteID_53f8ef36-f8f0-481f-b48c-3f199f2aae5f,33.918699,33.791255,-118.253651,-118.324843
RouteID_5ccca533-3e49-4990-a41a-f7f66a9e6552,33.918699,33.809389,-118.272384,-118.324843
RouteID_646aa8a7-499b-4b82-a91c-1bd25e11110c,33.918699,33.792707,-118.25107,-118.324843
RouteID_7a81cf08-b87e-483e-8117-5523b06355be,33.918699,33.792773,-118.250602,-118.324843
RouteID_83115e07-485d-4e5d-b381-94fe1a6deaba,33.918699,33.79226,-118.247859,-118.324843
RouteID_932e986f-ae89-4e72-835f-058c63a98575,33.918699,33.82525,-118.245011,-118.324843
RouteID_b5717eb1-437d-4d3c-b271-6ad2380061c4,33.918699,33.819041,-118.249498,-118.324843
RouteID_c05428b8-c43f-4cb8-b86a-f609054bca5d,33.918699,33.793584,-118.241518,-118.324843
RouteID_c0ececde-1d42-4427-ae43-b7e8508a9f4c,33.918699,33.804656,-118.272375,-118.324843
RouteID_a7e02343-0d01-4dfa-bcd4-4614d0a7332d,34.019963,33.990136,-118.143927,-118.270289
