Route_ID,stop,type,lat,lon,zone_id
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,AA,Dropoff,30.384303,-97.964343,A-8.2D
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,AD,Dropoff,30.361568,-97.987454,A-8.3G
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,AQ,Dropoff,30.380235,-97.974549,A-8.3C
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,AZ,Dropoff,30.350239,-97.987584,A-8.2J
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,BR,Dropoff,30.36095,-97.983692,A-8.3H
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,BT,Dropoff,30.380215,-97.970715,A-8.1D
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,BW,Dropoff,30.363509,-97.981768,A-8.2G
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,BZ,Dropoff,30.362289,-97.991714,A-8.3G
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CA,Dropoff,30.356029,-97.985582,A-8.1H
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CE,Dropoff,30.357624,-97.988726,A-8.2H
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CG,Dropoff,30.34932,-97.977936,A-7.2J
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CQ,Dropoff,30.368681,-97.978562,A-8.2B
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CR,Dropoff,30.35512,-97.984974,A-8.2J
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,CS,Dropoff,30.371392,-97.972677,A-8.3E
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DC,Dropoff,30.37759,-97.974259,A-8.3C
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DF,Dropoff,30.377727,-97.971429,A-8.3D
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DJ,Dropoff,30.379082,-97.979891,A-8.2C
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DP,Dropoff,30.381046,-97.974799,A-8.1C
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EB,Dropoff,30.371246,-97.974396,A-8.2B
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EF,Dropoff,30.378897,-97.977732,A-8.3C
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EI,Dropoff,30.39008,-97.966561,A-8.2D
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EJ,Dropoff,30.366129,-97.978646,A-8.1G
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EL,Dropoff,30.374884,-97.977414,A-8.3B
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EQ,Dropoff,30.36392,-97.979758,A-8.2G
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,EU,Dropoff,30.373239,-97.97127,A-8.3E
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FA,Dropoff,30.362988,-97.98272,A-8.3G
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FC,Dropoff,30.374168,-97.96759,A-8.2E
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,FJ,Dropoff,30.355949,-97.987816,A-8.1H
