,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
ALLANDALE,0.235,0.713,2614.0,13.397,"(20, 30]",18.936,"(110, 120]",15.838,0.665,-0.277,1.405
BARTON HILLS,0.08,0.682,2501.0,0.465,"(60, 70]",7.597,"(150, 160]",7.237,0.118,-0.164,1.569
BOULDIN CREEK,0.237,0.672,1653.0,24.438,"(20, 30]",24.38,"(110, 120]",15.366,0.925,-0.171,1.345
BRENTWOOD,0.295,0.688,1606.0,46.963,"(20, 30]",35.181,"(110, 120]",25.965,1.001,-0.402,1.423
CENTRAL EAST AUSTIN,0.081,0.714,1660.0,20.932,"(70, 80]",16.687,"(20, 30]",16.566,0.948,-0.141,1.608
CHESTNUT,-0.16,0.606,452.0,85.293,"(70, 80]",43.363,"(160, 170]",33.186,1.528,-0.339,1.7
CORONADO HILLS,0.085,0.654,523.0,11.988,"(110, 120]",20.841,"(20, 30]",12.046,0.6,0.078,1.491
CRESTVIEW,0.134,0.664,1394.0,54.76,"(110, 120]",37.661,"(20, 30]",27.762,1.091,0.136,1.296
DAWSON,0.24,0.674,708.0,37.496,"(20, 30]",28.39,"(110, 120]",25.0,1.083,-0.231,1.258
HERITAGE HILLS,0.267,0.669,1110.0,15.844,"(20, 30]",22.072,"(110, 120]",16.216,0.675,-0.38,1.501
DOWNTOWN,0.289,0.66,4555.0,73.918,"(10, 20]",37.914,"(100, 110]",36.861,1.294,-0.126,1.342
EAST CESAR CHAVEZ,0.251,0.671,1088.0,66.896,"(20, 30]",37.5,"(110, 120]",34.007,1.241,-0.15,1.249
EAST CONGRESS,0.046,0.709,1217.0,15.994,"(110, 120]",20.624,"(20, 30]",17.831,0.66,0.171,1.378
EAST OAK HILL,0.069,0.665,5682.0,1.275,"(110, 120]",8.817,"(20, 30]",8.289,0.233,0.001,1.571
FRANKLIN PARK,0.152,0.699,2664.0,9.356,"(20, 30]",17.643,"(110, 120]",13.551,0.528,-0.082,1.377
GALINDO,0.27,0.664,955.0,37.607,"(20, 30]",30.995,"(110, 120]",24.607,0.927,-0.247,1.342
HIGHLAND,0.128,0.688,1743.0,10.585,"(20, 30]",17.04,"(110, 120]",16.695,0.552,-0.069,1.45
GARRISON PARK,0.136,0.661,3327.0,9.521,"(110, 120]",17.163,"(20, 30]",15.509,0.513,-0.07,1.443
GATEWAY,0.065,0.705,559.0,4.144,"(10, 20]",11.628,"(90, 100]",9.481,0.417,0.031,1.545
GEORGIAN ACRES,0.087,0.694,954.0,25.213,"(110, 120]",21.698,"(20, 30]",20.65,0.953,0.093,1.231
GOVALLE,0.073,0.697,1811.0,34.068,"(20, 30]",27.83,"(110, 120]",25.676,0.901,0.145,1.379
HANCOCK,0.152,0.684,1340.0,58.673,"(110, 120]",38.955,"(20, 30]",27.537,1.148,0.079,1.228
HOLLY,0.182,0.635,893.0,76.31,"(20, 30]",37.626,"(110, 120]",37.514,1.372,0.179,1.194
HYDE PARK,0.212,0.68,1207.0,86.705,"(20, 30]",43.331,"(110, 120]",36.454,1.401,-0.048,1.14
JOHNSTON TERRACE,0.13,0.676,964.0,10.603,"(20, 30]",16.598,"(110, 120]",16.598,0.567,-0.115,1.443
MCKINNEY,0.227,0.651,1727.0,20.36,"(20, 30]",25.304,"(110, 120]",17.892,0.686,-0.237,1.485
NORTH UNIVERSITY,0.231,0.682,1167.0,54.558,"(110, 120]",33.162,"(20, 30]",32.134,1.105,-0.153,1.179
MLK,0.098,0.678,1143.0,8.257,"(70, 80]",15.223,"(20, 30]",13.298,0.556,-0.224,1.719
MLK-183,0.124,0.698,2639.0,5.713,"(20, 30]",14.172,"(110, 120]",12.618,0.419,-0.051,1.398
MONTOPOLIS,0.166,0.674,1794.0,8.694,"(20, 30]",15.719,"(30, 40]",11.483,0.594,-0.277,1.433
NORTH AUSTIN CIVIC ASSOCIATION,0.154,0.706,4364.0,13.869,"(20, 30]",20.921,"(110, 120]",17.484,0.535,-0.162,1.375
NORTH BURNET,0.185,0.693,3110.0,13.365,"(10, 20]",17.267,"(110, 120]",17.203,0.678,-0.127,1.389
NORTH LAMAR,0.242,0.667,764.0,42.565,"(20, 30]",33.77,"(110, 120]",24.346,0.981,-0.156,1.276
NORTH LOOP,0.217,0.671,1500.0,40.711,"(110, 120]",29.4,"(20, 30]",28.467,0.987,-0.103,1.309
NORTH SHOAL CREEK,0.387,0.673,1053.0,35.095,"(10, 20]",29.63,"(110, 120]",20.038,1.009,-0.547,1.503
OLD ENFIELD,0.056,0.761,349.0,11.365,"(110, 120]",17.192,"(0, 10]",12.607,0.629,0.139,1.282
OLD WEST AUSTIN,0.097,0.712,1531.0,27.412,"(20, 30]",26.192,"(110, 120]",22.861,0.803,0.069,1.274
PARKER LANE,0.214,0.693,1718.0,11.79,"(20, 30]",22.061,"(110, 120]",11.583,0.488,-0.301,1.492
SOUTH MANCHACA,0.137,0.696,1542.0,12.8,"(20, 30]",20.623,"(110, 120]",16.342,0.531,-0.112,1.412
PECAN SPRINGS-SPRINGDALE,0.182,0.67,1679.0,10.493,"(20, 30]",19.416,"(110, 120]",15.068,0.458,-0.194,1.531
PLEASANT VALLEY,0.276,0.705,936.0,16.769,"(20, 30]",23.825,"(110, 120]",13.462,0.695,-0.418,1.476
RIVERSIDE,0.123,0.708,2164.0,10.287,"(20, 30]",20.055,"(110, 120]",13.031,0.482,-0.093,1.353
RMMA,0.062,0.522,2448.0,45.177,"(80, 90]",40.4,"(110, 120]",12.255,0.898,0.052,2.522
ROSEDALE,0.185,0.714,1872.0,14.614,"(20, 30]",18.162,"(110, 120]",17.842,0.717,-0.21,1.394
