,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
Grand Boulevard,0.097,0.286,1278.0,239.299,"(80, 90]",89.124,"(0, 10]",4.695,1.711,-0.076,10.932
Printers Row,0.231,0.426,121.0,136.682,"(80, 90]",67.769,"(50, 60]",9.917,1.426,-0.204,4.344
United Center,0.108,0.241,1244.0,218.146,"(80, 90]",85.37,"(40, 50]",4.019,1.631,0.266,11.858
Sheffield & DePaul,-0.047,0.333,440.0,194.114,"(80, 90]",79.318,"(130, 140]",16.818,1.742,-1.166,4.004
Humboldt Park,0.08,0.372,3159.0,160.946,"(80, 90]",73.884,"(110, 120]",7.376,1.427,0.153,5.44
Garfield Park,0.098,0.333,2729.0,131.748,"(80, 90]",67.131,"(90, 100]",8.941,1.318,-0.076,6.732
North Lawndale,0.122,0.371,2206.0,121.598,"(80, 90]",63.826,"(60, 70]",15.005,1.375,-0.677,5.685
Little Village,0.086,0.294,1707.0,183.375,"(80, 90]",78.793,"(60, 70]",3.808,1.492,-0.569,8.33
Armour Square,0.008,0.431,780.0,109.53,"(80, 90]",61.795,"(100, 110]",6.282,1.148,-0.114,4.192
Avalon Park,-0.038,0.498,878.0,88.582,"(80, 90]",55.011,"(130, 140]",14.92,1.187,-0.029,2.652
Burnside,0.045,0.252,264.0,207.032,"(80, 90]",83.333,"(90, 100]",3.788,1.588,-1.19,10.774
Hermosa,0.086,0.172,540.0,275.784,"(80, 90]",95.37,"(160, 170]",1.111,1.843,-1.61,30.199
Avondale,-0.08,0.451,2072.0,89.681,"(80, 90]",55.068,"(120, 130]",13.9,1.234,0.055,2.795
Logan Square,0.027,0.344,2427.0,160.288,"(80, 90]",73.342,"(120, 130]",11.578,1.504,-0.187,4.816
Calumet Heights,-0.029,0.389,1263.0,155.784,"(80, 90]",72.288,"(130, 140]",11.956,1.49,-0.438,3.843
East Side,0.067,0.556,1812.0,44.904,"(90, 100]",34.879,"(80, 90]",20.309,1.134,0.256,2.44
West Pullman,0.08,0.267,1880.0,217.849,"(80, 90]",85.372,"(90, 100]",2.394,1.631,-0.645,11.693
Garfield Ridge,0.089,0.324,2309.0,153.976,"(80, 90]",72.023,"(70, 80]",11.304,1.47,-0.899,7.724
New City,0.1,0.232,2638.0,233.17,"(80, 90]",88.135,"(90, 100]",2.388,1.69,0.4,14.158
Englewood,0.099,0.273,3213.0,237.485,"(80, 90]",88.889,"(0, 10]",2.988,1.706,-0.004,11.284
Grand Crossing,0.066,0.448,2207.0,112.437,"(80, 90]",62.347,"(130, 140]",8.836,1.243,0.05,3.593
Ashburn,0.153,0.403,2643.0,119.896,"(80, 90]",64.699,"(40, 50]",6.129,1.206,-0.192,4.318
Mount Greenwood,0.063,0.309,1161.0,208.481,"(80, 90]",83.635,"(160, 170]",3.101,1.595,-0.955,8.975
Morgan Park,0.211,0.536,2742.0,54.553,"(80, 90]",44.457,"(20, 30]",8.643,0.943,-0.145,2.488
O'Hare,0.101,0.63,3112.0,9.754,"(80, 90]",19.666,"(0, 10]",13.239,0.465,-0.067,1.86
Jackson Park,0.055,0.651,699.0,16.548,"(80, 90]",26.037,"(160, 170]",9.871,0.563,-0.118,1.911
Loop,0.142,0.465,1898.0,69.953,"(80, 90]",49.157,"(90, 100]",14.489,1.087,-0.027,3.457
