,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
Boyle Heights,0.138,0.648,9208.0,28.329,"(110, 120]",26.933,"(20, 30]",22.861,0.818,0.069,1.481
Granada Hills,0.12,0.662,10963.0,15.058,"(90, 100]",20.341,"(0, 10]",18.645,0.616,-0.032,1.761
Mid-City,0.275,0.647,4693.0,26.756,"(10, 20]",26.678,"(100, 110]",21.266,0.809,-0.25,1.591
Mid-Wilshire,0.405,0.615,3375.0,36.09,"(10, 20]",32.652,"(90, 100]",18.4,0.95,-0.495,1.772
East La Mirada,0.098,0.63,1037.0,17.325,"(80, 90]",20.058,"(0, 10]",14.947,0.829,-0.167,2.083
La Mirada,0.122,0.626,8403.0,5.643,"(80, 90]",16.494,"(90, 100]",8.759,0.372,-0.103,1.797
Glendora,0.242,0.585,10088.0,28.378,"(80, 90]",25.793,"(0, 10]",21.114,0.912,-0.202,2.206
La Verne,0.242,0.629,6421.0,14.969,"(10, 20]",18.642,"(100, 110]",16.789,0.751,-0.13,1.659
San Dimas,0.156,0.603,8340.0,7.933,"(80, 90]",15.444,"(90, 100]",13.705,0.49,-0.21,2.058
Pacific Palisades,0.094,0.717,10272.0,0.843,"(10, 20]",9.258,"(0, 10]",7.593,0.158,-0.112,1.44
Claremont,0.216,0.592,9216.0,16.764,"(80, 90]",19.347,"(90, 100]",17.448,0.708,-0.211,2.116
Ladera Heights,0.251,0.688,1872.0,8.424,"(0, 10]",14.423,"(10, 20]",12.126,0.568,-0.435,1.832
Westchester,0.092,0.654,9068.0,8.768,"(80, 90]",17.777,"(0, 10]",13.189,0.473,-0.076,1.797
Inglewood,0.14,0.593,8643.0,25.336,"(80, 90]",28.671,"(0, 10]",14.995,0.78,-0.201,2.251
Pico-Robertson,0.278,0.654,1555.0,29.699,"(0, 10]",28.939,"(80, 90]",15.691,0.957,-0.27,1.803
Cerritos,0.084,0.535,6182.0,47.013,"(80, 90]",41.022,"(90, 100]",11.906,0.925,0.001,2.74
Lakewood,0.18,0.553,6673.0,39.058,"(80, 90]",31.83,"(90, 100]",19.541,1.058,0.026,2.394
Bellflower,0.144,0.441,5301.0,82.392,"(80, 90]",52.764,"(90, 100]",13.073,1.208,0.5,3.339
Gardena,0.28,0.52,5275.0,57.728,"(80, 90]",32.0,"(0, 10]",26.825,1.348,0.05,2.446
South Park,0.228,0.369,996.0,142.489,"(80, 90]",68.373,"(0, 10]",15.161,1.536,1.184,3.876
Central-Alameda,0.226,0.527,1783.0,39.132,"(90, 100]",29.052,"(80, 90]",21.481,1.079,0.351,1.844
Porter Ranch,0.031,0.664,6674.0,3.052,"(80, 90]",11.942,"(90, 100]",9.574,0.324,0.015,1.732
Citrus,0.247,0.545,669.0,55.158,"(90, 100]",31.689,"(0, 10]",28.102,1.307,0.116,2.23
Lynwood,0.213,0.638,5991.0,18.788,"(10, 20]",21.115,"(90, 100]",16.224,0.791,-0.069,1.684
Bell,0.446,0.625,2859.0,85.036,"(0, 10]",47.604,"(90, 100]",30.01,1.349,-0.533,1.836
Cudahy,-0.004,0.492,1480.0,149.728,"(90, 100]",70.541,"(0, 10]",13.041,1.508,0.593,3.715
Covina,0.211,0.522,6301.0,40.438,"(80, 90]",28.789,"(90, 100]",24.425,1.108,0.055,2.559
Paramount,0.181,0.497,3855.0,58.53,"(80, 90]",44.695,"(0, 10]",12.14,1.059,0.222,2.617
Hancock Park,0.365,0.581,1254.0,36.432,"(0, 10]",27.273,"(80, 90]",22.967,1.085,-0.379,2.177
Hyde Park,0.359,0.546,2429.0,91.939,"(80, 90]",45.533,"(0, 10]",35.735,1.468,-0.27,2.487
Westmont,0.265,0.506,1528.0,65.517,"(80, 90]",41.558,"(0, 10]",23.298,1.337,0.095,2.579
Gramercy Park,0.281,0.52,765.0,63.743,"(80, 90]",33.595,"(0, 10]",29.281,1.415,0.233,2.016
East Compton,0.101,0.465,492.0,103.148,"(80, 90]",59.35,"(90, 100]",11.585,1.218,-0.05,3.935
Alondra Park,0.308,0.512,555.0,41.412,"(80, 90]",28.649,"(0, 10]",23.063,1.207,-0.147,2.569
Florence-Firestone,0.208,0.524,2992.0,64.612,"(90, 100]",33.322,"(80, 90]",29.479,1.428,0.226,2.565
Walnut Park,0.053,0.464,465.0,150.043,"(90, 100]",70.108,"(0, 10]",16.774,1.546,1.007,3.598
Calabasas,0.136,0.66,7074.0,0.954,"(0, 10]",8.383,"(80, 90]",7.945,0.188,-0.247,1.714
Hidden Hills,0.057,0.76,114.0,11.964,"(0, 10]",12.281,"(20, 30]",12.281,0.765,0.058,1.317
Larchmont,0.187,0.451,310.0,94.383,"(80, 90]",51.613,"(90, 100]",23.226,1.528,0.51,3.47
Artesia,0.079,0.421,1074.0,105.933,"(80, 90]",60.521,"(90, 100]",9.311,1.233,0.162,4.28
Adams-Normandie,0.268,0.453,707.0,101.648,"(80, 90]",53.324,"(0, 10]",24.752,1.586,0.568,2.627
Bel-Air,0.006,0.744,6736.0,1.558,"(160, 170]",9.412,"(150, 160]",8.536,0.24,0.038,1.38
Rolling Hills,0.116,0.684,1076.0,1.55,"(110, 120]",8.55,"(40, 50]",8.086,0.25,-0.16,1.493
North Hills,0.364,0.612,5954.0,56.247,"(0, 10]",36.967,"(90, 100]",28.082,1.197,-0.353,1.925
Mission Hills,0.162,0.654,3631.0,13.67,"(90, 100]",19.334,"(0, 10]",16.332,0.669,-0.172,1.767
Florence,0.283,0.451,1897.0,111.599,"(80, 90]",57.248,"(0, 10]",24.618,1.576,0.511,2.66
Green Meadows,0.343,0.514,1853.0,59.466,"(0, 10]",32.488,"(80, 90]",28.117,1.368,0.099,1.916
Watts,0.218,0.582,2237.0,37.769,"(80, 90]",26.509,"(0, 10]",23.514,1.079,-0.033,2.153
Lawndale,0.105,0.547,1835.0,54.67,"(80, 90]",38.801,"(0, 10]",18.801,1.206,0.102,2.659
Marina del Rey,0.038,0.643,895.0,4.981,"(140, 150]",12.402,"(50, 60]",10.726,0.441,-0.128,1.638
Vermont Knolls,0.259,0.494,1141.0,91.294,"(80, 90]",52.936,"(0, 10]",22.436,1.374,0.112,2.761
Lake View Terrace,0.096,0.63,2269.0,11.039,"(130, 140]",15.866,"(40, 50]",14.985,0.619,-0.026,1.566
Lopez/Kagel Canyons,0.123,0.751,1765.0,2.839,"(0, 10]",11.275,"(10, 20]",9.632,0.297,-0.214,1.406
El Sereno,0.232,0.64,6963.0,2.393,"(80, 90]",10.398,"(0, 10]",8.56,0.313,-0.484,1.968
